Date,Island,Site,Tile,Treatment,Treatment_ABC,Tile_side?,Tube_ID,Diameter,Diameter_mm,Notes,Is it a coral?,Rachel's opinion,Rachel's notes,Final Decision,Coral_size_bin,
26-Nov-21,Middle Brother,Middle Brother,76,Uncaged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,76,Caged,,Top,114,,,Covered by tunicates,Y,,,Y,,
26-Nov-21,Middle Brother,Middle Brother,77,Uncaged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,77,Partial,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,77,Caged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,78,Caged,,,None,,,"Not on datasheet, but did have a photo taken",,,,,,
26-Nov-21,Middle Brother,Middle Brother,78,Uncaged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,78,Partial,,Top,115,1.7cm,,,Y,,,Y,medium,
26-Nov-21,Middle Brother,Middle Brother,78,Partial,,Top,116,4mm,,,Y,,,Y,small,
26-Nov-21,Middle Brother,Middle Brother,78,Partial,,Top,117,1.5cm,,,Y,,,Y,medium,
26-Nov-21,Middle Brother,Middle Brother,79,Uncaged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,79,Caged,,Top,118,0.7cm,,Montipora,Y,,,Y,small,
26-Nov-21,Middle Brother,Middle Brother,79,Caged,,Top,119,2.5cm,,Montipora,Y,,,Y,large,
26-Nov-21,Middle Brother,Middle Brother,79,Caged,,Top,120,1.5cm,,Montipora,Y,,,Y,medium,
26-Nov-21,Middle Brother,Middle Brother,79,Caged,,Top,121,5mm,,Montipora,Y,,,Y,small,
26-Nov-21,Middle Brother,Middle Brother,79,Caged,,Top,122,5mm,,Montipora,Y,,,Y,small,
28-Nov-21,Egmont,Il de rats,80,Uncaged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,80,Partial,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,80,Caged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,81,Uncaged,,Bottom/side,123,3.5 X 2cm,,Montipora?,Y,,,Y,large,
28-Nov-21,Egmont,Il de rats,81,Uncaged,,Side/top,124,5.5 X 2cm,,Montipora?,Y,,,Y,large,
28-Nov-21,Egmont,Il de rats,81,Caged,,Bottom/side,125,2.5cm,,Montipora?,Y,,,Y,large,
28-Nov-21,Egmont,Il de rats,81,Caged,,Side,126,3cm,,Branching,Y,,,Y,large,
28-Nov-21,Egmont,Il de rats,82,Uncaged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,82,Caged,,Top,127,"5cm tall, 3cm wide",,Acropora? Large!,Y,,,Y,large,
28-Nov-21,Egmont,Il de rats,83,Uncaged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,83,Partial,,,None,,,Calcified sponge or algae on the bottom,,,,,,
28-Nov-21,Egmont,Il de rats,83,Caged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,84,Uncaged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,84,Partial,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,84,Caged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,85,Uncaged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,85,Caged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,86,Uncaged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,86,Caged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,87,Caged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,88,Uncaged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,88,Caged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,89,Caged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,90,Uncaged,,,None,,,,,,,,,
28-Nov-21,Egmont,Il de rats,90,Caged,,Top/side,128,4.5 X 3.5cm,,Montipora?,Y,,,Y,large,
28-Nov-21,Egmont,Il de rats,91,Caged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,1,Uncaged,,Bottom/side,129,1cm,,Montipora or porites?,Y,,,Y,medium,
29-Nov-21,Egmont,Il lubine,1,Caged,,Side,130,0.4cm,,,Y,,,Y,small,
29-Nov-21,Egmont,Il lubine,2,Uncaged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,2,Caged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,3,Uncaged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,3,Caged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,4,Uncaged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,4,Caged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,5,Uncaged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,5,Caged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,6,Uncaged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,6,Caged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,7,Uncaged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,7,Caged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,92,Uncaged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,92,Caged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,93,Uncaged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,93,Caged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,94,Uncaged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,94,Caged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,95,Uncaged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,95,Caged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,96,Uncaged,,,None,,,,,,,,,
29-Nov-21,Egmont,Il lubine,96,Caged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,71,Partial,,Top,131,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
26-Nov-21,Middle Brother,Middle Brother,71,Partial,,Top,132,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
28-Nov-21,Egmont,Il de rats,82,Caged,,Top,134,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
26-Nov-21,Middle Brother,Middle Brother,72,Caged,,Top,136,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,29,Caged,,,None,,,,,,,,,
18-Nov-21,Peros Banos,Il Poule Seaward,22,Partial,,Side,137,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
18-Nov-21,Peros Banos,Il Poule Seaward,22,Partial,,Side,138,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
18-Nov-21,Peros Banos,Il Poule Seaward,22,Partial,,Side,139,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
18-Nov-21,Peros Banos,Il Poule Seaward,22,Partial,,Side,140,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
29-Nov-21,Egmont,Il lubine,1,Uncaged,,Side,141,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,24,Uncaged,,Bottom/Side,142,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,24,Uncaged,,Bottom/Side,143,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,50,Uncaged,,Bottom,144,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,54,Partial,,Bottom,145,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,55,Caged,,Bottom,146,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,55,Caged,,Bottom,147,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
